topology,iteration,alg,primal_error,dual_residual,objective,total_communication,root_communication,maxnodeiters,optimal_value
4,0,hADMM,296.98427185918524,NaN,8.256107e6,0.0,0.0,211,1.0956615664854958e6
4,1,hADMM,162.37771799965293,7.846587968155104,412763.2671990503,130.0,13.0,211,1.0956615664854958e6
4,2,hADMM,165.71748931927112,7.664278318783175,135794.93382831017,260.0,26.0,211,1.0956615664854958e6
4,3,hADMM,150.83694115988732,7.220358056192648,149007.29159504228,390.0,39.0,211,1.0956615664854958e6
4,4,hADMM,133.64134521590253,5.214238337767467,175224.2491390156,520.0,52.0,211,1.0956615664854958e6
4,5,hADMM,117.98444359087144,3.2003389242055773,234561.9499347643,650.0,65.0,211,1.0956615664854958e6
4,6,hADMM,105.3243376952685,2.174652104081252,285658.8782786687,780.0,78.0,211,1.0956615664854958e6
4,7,hADMM,95.09880559817837,2.0358728557173453,326026.1001860497,910.0,91.0,211,1.0956615664854958e6
4,8,hADMM,86.41871696616826,1.8614602451413393,365109.46459308127,1040.0,104.0,211,1.0956615664854958e6
4,9,hADMM,78.99471334176008,1.6945555534550998,402288.8148439519,1170.0,117.0,211,1.0956615664854958e6
4,10,hADMM,72.57479404399989,1.5478940660822662,437442.7262535697,1300.0,130.0,211,1.0956615664854958e6
4,11,hADMM,66.95916181965337,1.4219330059996693,470613.6869199393,1430.0,143.0,211,1.0956615664854958e6
4,12,hADMM,61.99773741341625,1.3133608289061804,501902.2495541634,1560.0,156.0,211,1.0956615664854958e6
4,13,hADMM,57.57809041219635,1.218512119769004,531426.8803069617,1690.0,169.0,211,1.0956615664854958e6
4,14,hADMM,53.61394448712451,1.136980845146912,559306.6518962809,1820.0,182.0,211,1.0956615664854958e6
4,15,hADMM,50.037214675027386,1.0640759862258964,585654.0317726285,1950.0,195.0,211,1.0956615664854958e6
4,16,hADMM,46.79302806522109,0.9972337680988943,610572.5169447357,2080.0,208.0,211,1.0956615664854958e6
4,17,hADMM,43.83656864158503,0.9358044803357579,634156.4730137303,2210.0,221.0,211,1.0956615664854958e6
4,18,hADMM,41.1309201459197,0.8792034243382094,656491.8318645024,2340.0,234.0,211,1.0956615664854958e6
4,19,hADMM,38.64546749643439,0.826918813152469,677657.0187072863,2470.0,247.0,211,1.0956615664854958e6
4,20,hADMM,36.35465139791956,0.7785073704049896,697723.8525497254,2600.0,260.0,211,1.0956615664854958e6
4,21,hADMM,34.236979458915904,0.7335856507215954,716758.3386132182,2730.0,273.0,211,1.0956615664854958e6
4,22,hADMM,32.27423958172716,0.6918208560182109,734821.3423386277,2860.0,286.0,211,1.0956615664854958e6
4,23,hADMM,30.450876712136463,0.6529226221847839,751969.1583104957,2990.0,299.0,211,1.0956615664854958e6
4,24,hADMM,28.753500754196082,0.6166361519118109,768253.992050347,3120.0,312.0,211,1.0956615664854958e6
4,25,hADMM,27.170498342480286,0.5827366202521453,783724.3709114691,3250.0,325.0,211,1.0956615664854958e6
4,26,hADMM,25.691725860315046,0.5510246423365963,798425.4972522885,3380.0,338.0,211,1.0956615664854958e6
4,27,hADMM,24.308265563399978,0.5213225851156622,812399.554276487,3510.0,351.0,211,1.0956615664854958e6
4,28,hADMM,23.012230609543153,0.49347154003239346,825685.972735915,3640.0,364.0,211,1.0956615664854958e6
4,29,hADMM,21.79660804663021,0.46732881452611963,838321.6650229272,3770.0,377.0,211,1.0956615664854958e6
4,30,hADMM,20.655131375934186,0.44276583502019307,850341.2318990073,3900.0,390.0,211,1.0956615664854958e6
4,31,hADMM,19.582176281436848,0.4196663803317584,861777.1461067293,4030.0,403.0,211,1.0956615664854958e6
4,32,hADMM,18.572674616395716,0.3979250835893211,872659.9163202317,4160.0,416.0,211,1.0956615664854958e6
4,33,hADMM,17.622042876043743,0.37744615453773633,883018.2342575619,4290.0,429.0,211,1.0956615664854958e6
4,34,hADMM,16.72612224797357,0.35814228424297667,892879.1072734861,4420.0,442.0,211,1.0956615664854958e6
4,35,hADMM,15.88112798716196,0.3399337017858084,902267.9783469365,4550.0,455.0,211,1.0956615664854958e6
4,36,hADMM,15.083606361156326,0.3227473583326379,911208.8350552509,4680.0,468.0,211,1.0956615664854958e6
4,37,hADMM,14.330397791125744,0.30671895893598844,919724.3088679372,4810.0,481.0,211,1.0956615664854958e6
4,38,hADMM,13.61860510503783,0.29192625714672893,927835.765884056,4940.0,494.0,211,1.0956615664854958e6
4,39,hADMM,12.94556604159217,0.27790317314614654,935563.389969082,5070.0,507.0,211,1.0956615664854958e6
4,40,hADMM,12.308829314951637,0.26460390753213403,942926.2591098329,5200.0,520.0,211,1.0956615664854958e6
4,41,hADMM,11.706133683183129,0.25198598286966956,949942.4156923711,5330.0,533.0,211,1.0956615664854958e6
4,42,hADMM,11.135389566548563,0.24000994110565088,956628.9313152209,5460.0,546.0,211,1.0956615664854958e6
4,43,hADMM,10.594662843191788,0.22863907493046476,963001.9666717412,5590.0,559.0,211,1.0956615664854958e6
4,44,hADMM,10.082160514039453,0.2178391885794877,969076.8269701522,5720.0,572.0,211,1.0956615664854958e6
4,45,hADMM,9.596217980268722,0.20757838425029362,974868.0133040684,5850.0,585.0,211,1.0956615664854958e6
4,46,hADMM,9.135287717884028,0.19782687088213002,980389.2703390594,5980.0,598.0,211,1.0956615664854958e6
4,47,hADMM,8.697929167762615,0.18855679251799629,985653.6306399449,6110.0,611.0,211,1.0956615664854958e6
4,48,hADMM,8.282799686865088,0.179742073866187,990673.4559289437,6240.0,624.0,211,1.0956615664854958e6
4,49,hADMM,7.888646429224696,0.1713582810119707,995460.475532442,6370.0,637.0,211,1.0956615664854958e6
4,50,hADMM,7.514299043834441,0.16338249550746298,1.0000258222507506e6,6500.0,650.0,211,1.0956615664854958e6
4,51,hADMM,7.158663092590057,0.15579320031667088,1.0043800658583394e6,6630.0,663.0,211,1.0956615664854958e6
4,52,hADMM,6.820714104537499,0.14857017627322655,1.0085332444238219e6,6760.0,676.0,211,1.0956615664854958e6
4,53,hADMM,6.499492193859632,0.14169440790447396,1.0124948936199694e6,6890.0,689.0,211,1.0956615664854958e6
4,54,hADMM,6.194097178492263,0.13514799760646312,1.0162740741780743e6,7020.0,702.0,211,1.0956615664854958e6
4,55,hADMM,5.903684144475436,0.128914087284425,1.0198793976266942e6,7150.0,715.0,211,1.0956615664854958e6
