topology,iteration,alg,lambda,primal_error,dual_residual,real_primal_residual,real_dual_residual,objective,total_communication,root_communication,maxnodeiters,max_communication,optimal_value
1,0,hADMM,1.0e-5,13.47519175474727,NaN,NaN,NaN,17626.5,0.0,0.0,6,36,25018.622314715096
1,1,hADMM,1.0e-5,12.152821382778859,1.0216802099449007,1.0216802099449007,0.3333333266917211,19391.83264070483,26.0,2.0,6,36,25018.622314715096
1,2,hADMM,1.0e-5,10.898348507220351,1.000000009976885,1.000000009976885,0.012904540755318217,25641.76585763487,52.0,4.0,6,36,25018.622314715096
1,3,hADMM,1.0e-5,10.780793758293685,0.4955177587291115,0.4955177587291115,0.50176065968503,29426.67260800358,78.0,6.0,6,36,25018.622314715096
1,4,hADMM,1.0e-5,10.729904340281148,0.49435774725177223,0.49435774725177223,0.012998242197452048,29429.882668329898,104.0,8.0,6,36,25018.622314715096
1,5,hADMM,1.0e-5,10.842234781744704,0.006856080904222295,0.006856080904222295,0.4842486868519008,29377.824537400807,130.0,10.0,6,36,25018.622314715096
1,6,hADMM,1.0e-5,10.79859899712675,6.197719120229483e-5,6.197719120229483e-5,0.013072512267452818,29327.68616593985,156.0,12.0,6,36,25018.622314715096
1,0,hADMM,2.0e-5,13.47519175474727,NaN,NaN,NaN,17626.5,0.0,0.0,66,396,25018.622314715096
1,1,hADMM,2.0e-5,12.16126406786135,1.0431889611687848,1.0431889611687848,0.3333333266917119,19311.32069620178,26.0,2.0,66,396,25018.622314715096
1,2,hADMM,2.0e-5,10.849701706523948,1.0000000099767508,1.0000000099767508,0.02566003203244216,25600.088271440953,52.0,4.0,66,396,25018.622314715096
1,3,hADMM,2.0e-5,10.698453861857606,0.4910408310337706,0.4910408310337706,0.5033836556128573,29339.48443547578,78.0,6.0,66,396,25018.622314715096
1,4,hADMM,2.0e-5,10.597478305488806,0.488730698425228,0.488730698425228,0.026004776198665702,29346.541579383287,104.0,8.0,66,396,25018.622314715096
1,5,hADMM,2.0e-5,10.656579546692612,0.013687610841689346,0.013687610841689346,0.4685168855693391,29245.980963910537,130.0,10.0,66,396,25018.622314715096
1,6,hADMM,2.0e-5,10.570676964742738,0.00024183545746009338,0.00024183545746009338,0.02565822556263936,29147.55869676792,156.0,12.0,66,396,25018.622314715096
1,7,hADMM,2.0e-5,10.476901208952082,0.00023939046064658243,0.00023939046064658243,0.032163950529256025,29050.041442833797,182.0,14.0,66,396,25018.622314715096
1,8,hADMM,2.0e-5,10.383925564339291,0.0002369797189223366,0.0002369797189223366,0.03214432700612602,28953.376609515246,208.0,16.0,66,396,25018.622314715096
1,9,hADMM,2.0e-5,10.29182089110378,0.0002346065032016731,0.0002346065032016731,0.03204979699446142,28857.549666895262,234.0,18.0,66,396,25018.622314715096
1,10,hADMM,2.0e-5,10.200597047352387,0.0002322700526307675,0.0002322700526307675,0.03195568583562014,28762.546596788216,260.0,20.0,66,396,25018.622314715096
1,11,hADMM,2.0e-5,10.110264472658812,0.0002299696034683274,0.0002299696034683274,0.03186240138480134,28668.353729300492,286.0,22.0,66,396,25018.622314715096
1,12,hADMM,2.0e-5,10.020834607125,0.00022770441118907803,0.00022770441118907803,0.031769927458309644,28574.957732220864,312.0,24.0,66,396,25018.622314715096
1,13,hADMM,2.0e-5,9.932319936075231,0.00022547375002685,0.00022547375002685,0.03167824585912826,28482.345601481946,338.0,26.0,66,396,25018.622314715096
1,14,hADMM,2.0e-5,9.844734032173685,0.00022327691240980885,0.00022327691240980885,0.031587338753748195,28390.504651940195,364.0,28.0,66,396,25018.622314715096
1,15,hADMM,2.0e-5,9.758091596394097,0.00022111320841433635,0.00022111320841433635,0.03149718867602602,28299.422508458116,390.0,30.0,66,396,25018.622314715096
1,16,hADMM,2.0e-5,9.67240849695363,0.00021898196524161584,0.00021898196524161584,0.03140777851795695,28209.087097277363,416.0,32.0,66,396,25018.622314715096
1,17,hADMM,2.0e-5,9.587701805123231,0.00021688252670681862,0.00021688252670681862,0.031319091520668474,28119.486637671514,442.0,34.0,66,396,25018.622314715096
1,18,hADMM,2.0e-5,9.503989826616872,0.00021481425275182708,0.00021481425275182708,0.031231111265694778,28030.60963386812,468.0,36.0,66,396,25018.622314715096
