topology,iteration,alg,lambda,primal_error,dual_residual,real_primal_residual,real_dual_residual,objective,total_communication,root_communication,maxnodeiters,optimal_value
1,0,hADMM,1.0e-5,31.37389360019533,NaN,NaN,NaN,1.1199725e6,0.0,0.0,106,1.2310890034544498e6
1,1,hADMM,1.0e-5,30.173207230122152,1.0903469797953438,1.0903469797953438,0.9999195957336681,1.1313646493080405e6,53.0,5.0,106,1.2310890034544498e6
1,2,hADMM,1.0e-5,29.7012282433031,1.0877171515666975,1.0877171515666975,0.6013913624072318,1.1593006555450575e6,106.0,10.0,106,1.2310890034544498e6
1,3,hADMM,1.0e-5,26.60729798254637,1.1343717826856154,1.1343717826856154,0.9181222347270074,1.2184065082220319e6,159.0,15.0,106,1.2310890034544498e6
1,4,hADMM,1.0e-5,24.080749603458685,0.5480952468372153,0.5480952468372153,1.0032299802096694,1.2867480032913312e6,212.0,20.0,106,1.2310890034544498e6
1,5,hADMM,1.0e-5,22.485996142694873,0.6829968335551767,0.6829968335551767,0.660017098892318,1.34428416433695e6,265.0,25.0,106,1.2310890034544498e6
1,6,hADMM,1.0e-5,22.39729673333276,0.7180512538746155,0.7180512538746155,1.1517062342645121,1.3685030432210853e6,318.0,30.0,106,1.2310890034544498e6
1,7,hADMM,1.0e-5,21.568331483025254,0.732416252546243,0.732416252546243,0.13769025988759998,1.3585626664776965e6,371.0,35.0,106,1.2310890034544498e6
1,8,hADMM,1.0e-5,21.029541573032446,0.3279345763340398,0.3279345763340398,0.41846269186762663,1.3323679914664403e6,424.0,40.0,106,1.2310890034544498e6
1,9,hADMM,1.0e-5,20.781404794435424,0.03143910035508002,0.03143910035508002,0.34185378114165466,1.3058515115937851e6,477.0,45.0,106,1.2310890034544498e6
1,10,hADMM,1.0e-5,20.32196547343447,0.10375960058164191,0.10375960058164191,0.17806796525678592,1.2852820179375052e6,530.0,50.0,106,1.2310890034544498e6
