topology,iteration,alg,primal_error,dual_residual,objective,total_communication,root_communication,maxnodeiters,optimal_value
1,0,hADMM,169.81175379246818,NaN,2.237143e6,0.0,0.0,83,886544.1994210861
1,1,hADMM,154.4736228508762,14.215605170849175,224712.33696794035,154.0,26.0,83,886544.1994210861
1,2,hADMM,115.15609469414981,12.709591353714114,335187.7927596305,308.0,52.0,83,886544.1994210861
1,3,hADMM,79.58315438800324,9.019609203683746,413391.94024876854,462.0,78.0,83,886544.1994210861
1,4,hADMM,50.62380629609228,2.1948550915805356,514450.6505955013,616.0,104.0,83,886544.1994210861
1,5,hADMM,41.80986549963278,1.7936013794255459,565157.9542214172,770.0,130.0,83,886544.1994210861
1,6,hADMM,35.03575022672618,1.5086632659314159,607867.7989054546,924.0,156.0,83,886544.1994210861
1,7,hADMM,29.675697336329076,1.2824785750583683,644071.8731301427,1078.0,182.0,83,886544.1994210861
1,8,hADMM,25.335939506887133,1.0981677743121825,674966.8758399368,1232.0,208.0,83,886544.1994210861
1,9,hADMM,21.759979837875342,0.9453674143601969,701496.6493909466,1386.0,234.0,83,886544.1994210861
1,10,hADMM,18.774052514040307,0.8180787002256675,724401.5317951704,1540.0,260.0,83,886544.1994210861
1,11,hADMM,16.25569984878416,0.7125116908997882,744265.0539890295,1694.0,286.0,83,886544.1994210861
1,12,hADMM,14.11538866466997,0.6222541131121613,761552.4480571494,1848.0,312.0,83,886544.1994210861
1,13,hADMM,12.285513772356206,0.544614510191197,776639.9992711263,2002.0,338.0,83,886544.1994210861
1,14,hADMM,10.713636789032956,0.47750829600643385,789836.538031567,2156.0,364.0,83,886544.1994210861
1,15,hADMM,9.35819281849064,0.4192816587482948,801398.9398545964,2310.0,390.0,83,886544.1994210861
1,16,hADMM,8.185665755423878,0.36859897467927993,811543.318283163,2464.0,416.0,83,886544.1994210861
1,17,hADMM,7.168661082056533,0.32436654976313406,820453.2042165276,2618.0,442.0,83,886544.1994210861
1,18,hADMM,6.284544648281001,0.2856786725214011,828285.6325778156,2772.0,468.0,83,886544.1994210861
1,19,hADMM,5.514450935430419,0.25177820557970243,835175.7681943837,2926.0,494.0,83,886544.1994210861
1,20,hADMM,4.842541176616296,0.22202709808191834,841240.4978216868,3080.0,520.0,83,886544.1994210861
1,21,hADMM,4.25543616962341,0.1958839052523409,846581.2763218957,3234.0,546.0,83,886544.1994210861
1,22,hADMM,3.7417749047945037,0.1728863853367617,851286.422843088,3388.0,572.0,83,886544.1994210861
1,23,hADMM,3.291866107962029,0.15263784773655686,855433.0021266171,3542.0,598.0,83,886544.1994210861
1,24,hADMM,2.897409830361324,0.13479631575137319,859088.3859580853,3696.0,624.0,83,886544.1994210861
1,25,hADMM,2.5512727379002915,0.11906582900787654,862311.5630176101,3850.0,650.0,83,886544.1994210861
1,26,hADMM,2.247305137023319,0.10518939164377272,865154.2472678204,4004.0,676.0,83,886544.1994210861
1,27,hADMM,1.9801908159923154,0.09294320025294844,867661.8225280731,4158.0,702.0,83,886544.1994210861
1,28,hADMM,1.745322945392898,0.08213187740774153,869874.1520970984,4312.0,728.0,83,886544.1994210861
1,29,hADMM,1.5387008573555,0.07258450336995637,871826.2759759781,4466.0,754.0,83,886544.1994210861
1,30,hADMM,1.3568436883915218,0.06415128756690436,873549.0136138673,4620.0,780.0,83,886544.1994210861
1,31,hADMM,1.196717744882708,0.05670075771209859,875069.4866346122,4774.0,806.0,83,886544.1994210861
1,32,hADMM,1.055675113358911,0.05011737153911611,876411.5733594651,4928.0,832.0,83,886544.1994210861
1,33,hADMM,0.9314015449987484,0.04429947651222754,877596.3048898745,5082.0,858.0,83,886544.1994210861
1,34,hADMM,0.821872035645389,0.039157558346532895,878642.2108965396,5236.0,884.0,83,886544.1994210861
1,35,hADMM,0.7253128273654332,0.034612731030572164,879565.621965606,5390.0,910.0,83,886544.1994210861
1,36,hADMM,0.6401687964834831,0.030595430140303748,880380.9343052886,5544.0,936.0,83,886544.1994210861
1,37,hADMM,0.5650753816217502,0.0270442783793996,881100.8417554917,5698.0,962.0,83,886544.1994210861
1,38,hADMM,0.49883435523640496,0.023905097828791355,881736.5393321888,5852.0,988.0,83,886544.1994210861
1,39,hADMM,0.44039286218604107,0.021130047809046815,882297.901944635,6006.0,1014.0,83,886544.1994210861
1,40,hADMM,0.38882524562225473,0.018676870777092347,882793.6414241642,6160.0,1040.0,83,886544.1994210861
1,41,hADMM,0.34331725894871923,0.01650823151093128,883231.4445810191,6314.0,1066.0,83,886544.1994210861
1,42,hADMM,0.30315232668610786,0.01459113713291238,883618.0946456572,6468.0,1092.0,83,886544.1994210861
1,43,hADMM,0.2676995695581597,0.012896427400439947,883959.5781445584,6622.0,1118.0,83,886544.1994210861
1,44,hADMM,0.23640335263155476,0.011398326240669832,884261.1789952404,6776.0,1144.0,83,886544.1994210861
1,45,hADMM,0.20877415122432297,0.010074046789188884,884527.5613794982,6930.0,1170.0,83,886544.1994210861
1,46,hADMM,0.18438055945365142,0.008903443266540023,884762.842755473,7084.0,1196.0,83,886544.1994210861
1,47,hADMM,0.16284229132525907,0.007868703929053922,884970.6582011242,7238.0,1222.0,83,886544.1994210861
1,48,hADMM,0.14382404555118336,0.006954080085897374,885154.2171314262,7392.0,1248.0,83,886544.1994210861
1,49,hADMM,0.1270301231061342,0.006145646853996212,885316.3533051674,7546.0,1274.0,83,886544.1994210861
1,50,hADMM,0.11219970169720614,0.005431091816026523,885459.5689235437,7700.0,1300.0,83,886544.1994210861
1,51,hADMM,0.09910268427347016,0.004799528300809541,885586.0735256579,7854.0,1326.0,83,886544.1994210861
1,52,hADMM,0.08753604969669901,0.004241330356144601,885697.8183002388,8008.0,1352.0,83,886544.1994210861
1,53,hADMM,0.07732064319332013,0.003747986868669173,885796.5263580784,8162.0,1378.0,83,886544.1994210861
1,54,hADMM,0.06829835212517506,0.0033119725880599304,885883.7194440869,8316.0,1404.0,83,886544.1994210861
1,55,hADMM,0.060329620003833906,0.0029266340822751147,885960.7415103895,8470.0,1430.0,83,886544.1994210861
1,56,hADMM,0.05329125712381906,0.0025860888858986186,886028.779521634,8624.0,1456.0,83,886544.1994210861
1,57,hADMM,0.04707451213905373,0.002285136306811708,886088.881818754,8778.0,1482.0,83,886544.1994210861
1,58,hADMM,0.041583372603313226,0.002019178546831313,886141.9743295636,8932.0,1508.0,83,886544.1994210861
1,59,hADMM,0.036733067118950066,0.001784150931840145,886188.8748794203,9086.0,1534.0,83,886544.1994210861
1,60,hADMM,0.03244874477957545,0.0015764602065413413,886230.3058255247,9240.0,1560.0,83,886544.1994210861
1,61,hADMM,0.028664310711938753,0.001392929958164757,886266.9052119552,9394.0,1586.0,83,886544.1994210861
1,62,hADMM,0.02532139899770078,0.0012307523467693926,886299.2366191421,9548.0,1612.0,83,886544.1994210861
1,63,hADMM,0.022368466690286314,0.0010874454139546685,886327.7978610244,9702.0,1638.0,83,886544.1994210861
1,64,hADMM,0.019759994451787964,0.0009608153265467934,886353.0286650562,9856.0,1664.0,83,886544.1994210861
1,65,hADMM,0.017455781266799916,0.0008489229854724556,886375.3174542476,10010.0,1690.0,83,886544.1994210861
1,66,hADMM,0.015420321968413604,0.0007500544964145206,886395.0073364967,10164.0,1716.0,83,886544.1994210861
1,67,hADMM,0.013622257851218601,0.0006626950569792456,886412.4013940527,10318.0,1742.0,83,886544.1994210861
1,68,hADMM,0.012033891777907434,0.0005855058623609466,886427.7673549618,10472.0,1768.0,83,886544.1994210861
1,69,hADMM,0.010630760092508441,0.0005173036922752061,886441.3417188807,10626.0,1794.0,83,886544.1994210861
1,70,hADMM,0.00939125471231296,0.0004570428506287527,886453.3334010501,10780.0,1820.0,83,886544.1994210861
1,71,hADMM,0.008296289455812973,0.0004037992053103068,886463.92695082,10934.0,1846.0,83,886544.1994210861
1,72,hADMM,0.007329005467254028,0.0003567560737991471,886473.2853943177,11088.0,1872.0,83,886544.1994210861
1,73,hADMM,0.006474511068133025,0.0003151917450470165,886481.5527453789,11242.0,1898.0,83,886544.1994210861
1,74,hADMM,0.005719652063624219,0.00027846844893630873,886488.8562233604,11396.0,1924.0,83,886544.1994210861
1,75,hADMM,0.005052808863071833,0.00024602260081252325,886495.3082121483,11550.0,1950.0,83,886544.1994210861
1,76,hADMM,0.004463717379100241,0.00021735618651419486,886501.0079905654,11704.0,1976.0,83,886544.1994210861
1,77,hADMM,0.003943310785313474,0.00019202913599158933,886506.0432608201,11858.0,2002.0,83,886544.1994210861
1,78,hADMM,0.003483579827078937,0.00016965259045775838,886510.4914986835,12012.0,2028.0,83,886544.1994210861
1,79,hADMM,0.0030774493925399987,0.00014988294740447827,886514.4211461309,12166.0,2054.0,83,886544.1994210861
1,80,hADMM,0.0027186695226106656,0.00013241659780227621,886517.8926648753,12320.0,2080.0,83,886544.1994210861
1,81,hADMM,0.0024017191513685254,0.00011698527471715181,886520.9594669006,12474.0,2106.0,83,886544.1994210861
1,82,hADMM,0.002121721062259269,0.00010335194223110022,886523.6687366719,12628.0,2132.0,83,886544.1994210861
1,83,hADMM,0.0018743667909066832,9.130716212091272e-5,886526.0621572284,12782.0,2158.0,83,886544.1994210861
1,0,nADMM,169.81175379246818,NaN,2.237143e6,0.0,0.0,3034,886544.1994210861
1,1,nADMM,43.59098480853909,10.986847754560431,714446.3956527777,35587.0,1040.0,3034,886544.1994210861
1,2,nADMM,16.39108259374895,1.9466697353499587,794002.4472606253,54294.0,1820.0,3034,886544.1994210861
1,3,nADMM,12.748682864322747,1.4979226314384562,811954.3346556963,71479.0,2548.0,3034,886544.1994210861
1,4,nADMM,9.952022356223146,1.161526207893628,826709.1941125686,87564.0,3250.0,3034,886544.1994210861
1,5,nADMM,7.789480486540549,0.9053931321466653,838707.6231087716,102552.0,3926.0,3034,886544.1994210861
1,6,nADMM,6.109232228044043,0.7083401962934133,848395.094836776,116515.0,4576.0,3034,886544.1994210861
1,7,nADMM,4.7992025218963486,0.555669820913355,856176.2360580703,129528.0,5200.0,3034,886544.1994210861
1,8,nADMM,3.7749085687314263,0.4367611842678123,862405.1022911681,141722.0,5824.0,3034,886544.1994210861
1,9,nADMM,2.972503396439592,0.3438013071434689,867375.0449122512,152987.0,6422.0,3034,886544.1994210861
1,10,nADMM,2.34275822110836,0.2709298534037483,871333.322954719,163446.0,6994.0,3034,886544.1994210861
1,11,nADMM,1.8478246991202425,0.21368719029423922,874480.8155824192,173102.0,7540.0,3034,886544.1994210861
1,12,nADMM,1.4583452480434762,0.16864933535004312,876981.314543757,181958.0,8060.0,3034,886544.1994210861
1,13,nADMM,1.151604369769588,0.13318351979300758,878965.2409600004,190164.0,8554.0,3034,886544.1994210861
1,14,nADMM,0.9096715967875193,0.10521281782018121,880540.2975073942,197713.0,9048.0,3034,886544.1994210861
1,15,nADMM,0.7189248389950496,0.08313644962204236,881787.3513686603,204606.0,9516.0,3034,886544.1994210861
1,16,nADMM,0.5684057676625401,0.06571069188663792,882774.9958964548,210849.0,9958.0,3034,886544.1994210861
1,17,nADMM,0.4495367599331458,0.05195152839353767,883557.7502090441,216514.0,10374.0,3034,886544.1994210861
1,18,nADMM,0.35568343528411217,0.04107166993808242,884176.8378377774,221607.0,10764.0,3034,886544.1994210861
1,19,nADMM,0.2813823310626453,0.03248377719453188,884668.9908584506,226328.0,11154.0,3034,886544.1994210861
1,20,nADMM,0.22277528851216832,0.025685974596640904,885056.903969556,230543.0,11518.0,3034,886544.1994210861
1,21,nADMM,0.17643734581862178,0.02031119990880903,885364.1814167745,234258.0,11856.0,3034,886544.1994210861
1,22,nADMM,0.1398434811139828,0.016073427648040095,885606.8605049829,237548.0,12168.0,3034,886544.1994210861
1,23,nADMM,0.11077606037902016,0.012715151279047987,885800.6170558796,240541.0,12480.0,3034,886544.1994210861
1,24,nADMM,0.08788533995797353,0.010053485311090071,885952.6051362483,243178.0,12766.0,3034,886544.1994210861
1,25,nADMM,0.06982215288109658,0.007950543346682437,886072.3175951604,245390.0,13026.0,3034,886544.1994210861
1,26,nADMM,0.05552229708633788,0.006292641821074696,886167.4959945562,247327.0,13260.0,3034,886544.1994210861
1,27,nADMM,0.04409012876030722,0.00497986186166699,886244.2370719418,249111.0,13494.0,3034,886544.1994210861
1,28,nADMM,0.035161773892884954,0.003935633768861635,886303.4188683073,250614.0,13702.0,3034,886544.1994210861
