Topology,Algorithm,Iteration,Opt_Gap,Tot_Com
2,fADMM,13,28.430651937923436,936
2,fADMM,14,28.449313029292654,1014
2,fADMM,15,28.459141010697692,1092
2,fADMM,16,28.464296625499326,1170
2,fADMM,17,28.466991519454872,1248
3,hADMM,1,253.30688451596993,0
3,hADMM,2,31.654613131562737,54
3,hADMM,3,38.913456559329745,108
3,hADMM,4,5.377057848276738,162
3,hADMM,5,3.30445138731429,216
3,hADMM,6,2.058638607850158,270
3,hADMM,7,1.3022373034129784,324
3,hADMM,8,0.8335067043741593,378
3,hADMM,9,0.5376107108486466,432
3,hADMM,10,0.3482416913714745,486
3,hADMM,11,0.22596932533332062,540
3,hADMM,12,0.1466324790125985,594
3,hADMM,13,0.09505156239271516,648
3,hADMM,14,0.061514421836580804,702
3,hADMM,15,0.03973401922304865,756
3,hADMM,16,0.025614445100508174,810
3,hADMM,17,0.016480410729889244,864
3,hADMM,18,0.010584401700610634,918
3,hADMM,19,0.006786559536491089,972
3,hADMM,20,0.004345036368016071,1026
3,hADMM,21,0.0027782572802508548,1080
3,fADMM,1,253.30688451596993,0
3,fADMM,2,1.614204095150338,76
3,fADMM,3,3.076340248355628,152
3,fADMM,4,2.7010055308470373,228
3,fADMM,5,0.26552497730560787,304
3,fADMM,6,1.821602313472331,380
3,fADMM,7,3.1314827101795513,456
3,fADMM,8,3.8748354197020647,532
3,fADMM,9,4.28015485850834,608
3,fADMM,10,4.497188981534313,684
3,fADMM,11,4.612313544856182,760
3,fADMM,12,4.673027198628576,836
3,fADMM,13,4.704909305190656,912
3,fADMM,14,4.721591009991942,988
3,fADMM,15,4.730290753340574,1064
3,fADMM,16,4.734813750421311,1140
3,fADMM,17,4.737158296733589,1216
4,hADMM,1,230.02554864509622,0
4,hADMM,2,33.33001977921132,46
4,hADMM,3,33.1242152047953,92
4,hADMM,4,0.10043460930577033,138
4,hADMM,5,0.6940050151750868,184
4,hADMM,6,0.7588451220995334,230
4,hADMM,7,0.6103285898084368,276
4,hADMM,8,0.4386989537632064,322
4,hADMM,9,0.2986768376435564,368
4,hADMM,10,0.19740207967650025,414
4,hADMM,11,0.12822841365646026,460
4,hADMM,12,0.08243051275082325,506
4,hADMM,13,0.052655049610499986,552
4,hADMM,14,0.03350742142540173,598
4,hADMM,15,0.02127591898317052,644
4,hADMM,16,0.013493590827679723,690
4,hADMM,17,0.008553462908303024,736
4,hADMM,18,0.005421363545326517,782
4,hADMM,19,0.0034366366995107,828
4,fADMM,1,230.02554864509622,0
4,fADMM,2,25.313163384598987,64
4,fADMM,3,16.439180770405123,128
4,fADMM,4,18.87288472545936,192
4,fADMM,5,22.58009412207698,256
4,fADMM,6,25.099116348145433,320
4,fADMM,7,26.571105269705615,384
4,fADMM,8,27.386651378941245,448
4,fADMM,9,27.82802224927703,512
4,fADMM,10,28.064077684649714,576
4,fADMM,11,28.189457998464906,640
4,fADMM,12,28.25574068549434,704
4,fADMM,13,28.290651557158753,768
4,fADMM,14,28.308979974791786,832
4,fADMM,15,28.318574335730638,896
4,fADMM,16,28.32358300397812,960
4,fADMM,17,28.32619107768672,1024
5,hADMM,1,224.42841199637195,0
5,hADMM,2,36.16671713824777,62
5,hADMM,3,31.68355735592267,124
5,hADMM,4,0.28644261436726176,186
5,hADMM,5,0.9429266345277715,248
5,hADMM,6,0.914720432198475,310
5,hADMM,7,0.7018328501269139,372
5,hADMM,8,0.4883208061766277,434
5,hADMM,9,0.3229504886519793,496
5,hADMM,10,0.20742919689615028,558
5,hADMM,11,0.13088939308015693,620
5,hADMM,12,0.08169486837019214,682
5,hADMM,13,0.050653293738716514,744
5,hADMM,14,0.031287597972858495,806
5,hADMM,15,0.019289264067854122,868
5,hADMM,16,0.011884984473956089,930
5,hADMM,17,0.007324842906827542,992
5,hADMM,18,0.004518174908850238,1054
5,hADMM,19,0.002790290849691731,1116
5,fADMM,1,224.42841199637195,0
5,fADMM,2,26.493923410691945,90
5,fADMM,3,17.307525720426085,180
5,fADMM,4,19.549965530755276,270
5,fADMM,5,22.703854417316315,360
5,fADMM,6,24.77916195871251,450
5,fADMM,7,26.006609466109726,540
5,fADMM,8,26.705389285181035,630
5,fADMM,9,27.095399704833085,720
5,fADMM,10,27.310320773017693,810
5,fADMM,11,27.427655379213334,900
5,fADMM,12,27.491237807764712,990
5,fADMM,13,27.525475352990153,1080
5,fADMM,14,27.54380801840347,1170
5,fADMM,15,27.55357347288461,1260
5,fADMM,16,27.558749690114624,1350
5,fADMM,17,27.561480181675446,1440
6,hADMM,1,227.84241819537368,0
6,hADMM,2,35.97321419701894,64
6,hADMM,3,34.41744725294573,128
6,hADMM,4,1.9646838891440532,192
6,hADMM,5,0.6174629769937525,256
6,hADMM,6,0.09678663781456552,320
6,hADMM,7,0.06953719155668098,384
6,hADMM,8,0.10127762905805984,448
6,hADMM,9,0.08903029167204177,512
6,hADMM,10,0.06716026636806721,576
6,hADMM,11,0.04717089541807973,640
6,hADMM,12,0.0318493044929141,704
6,hADMM,13,0.020997385076275875,768
6,hADMM,14,0.013633608240232322,832
6,hADMM,15,0.008763293631331145,896
6,hADMM,16,0.005594168766121035,960
6,hADMM,17,0.0035540890069720673,1024
6,fADMM,1,227.84241819537368,0
6,fADMM,2,21.967348706028677,96
6,fADMM,3,14.608916453924792,192
6,fADMM,4,15.680654916145444,288
6,fADMM,5,18.459320738135247,384
6,fADMM,6,20.40052208155676,480
6,fADMM,7,21.568116592708012,576
6,fADMM,8,22.236844584573348,672
6,fADMM,9,22.61107453104458,768
6,fADMM,10,22.817664894726075,864
6,fADMM,11,22.930663662136954,960
6,fADMM,12,22.99204529410631,1056
6,fADMM,13,23.025203084178898,1152
6,fADMM,14,23.043029666353586,1248
6,fADMM,15,23.052573149829456,1344
6,fADMM,16,23.057662270082428,1440
6,fADMM,17,23.06036601083952,1536
7,hADMM,1,221.6650441293984,0
7,hADMM,2,35.52778918179198,54
7,hADMM,3,30.304845153550264,108
7,hADMM,4,1.6395569898236317,162
7,hADMM,5,2.0635277636658,216
7,hADMM,6,1.7557178510771692,270
7,hADMM,7,1.3055776075115215,324
7,hADMM,8,0.9111593917165021,378
7,hADMM,9,0.6143845483253396,432
7,hADMM,10,0.40597477760703304,486
7,hADMM,11,0.2649250686043238,540
7,hADMM,12,0.17150349201054313,594
7,hADMM,13,0.11044685102043841,648
7,hADMM,14,0.07088099433357403,702
7,hADMM,15,0.045383773027018806,756
7,hADMM,16,0.029013177455214423,810
7,hADMM,17,0.018528248366703692,864
7,hADMM,18,0.01182405576339647,918
7,hADMM,19,0.007542101853578143,972
7,hADMM,20,0.004809286936833163,1026
7,hADMM,21,0.0030660416757204165,1080
7,fADMM,1,221.6650441293984,0
7,fADMM,2,28.845469395040713,76
7,fADMM,3,18.558968606486424,152
7,fADMM,4,21.437981383542066,228
7,fADMM,5,24.720522588085245,304
7,fADMM,6,26.88433733315395,380
7,fADMM,7,28.175107580993448,456
7,fADMM,8,28.914273204552764,532
7,fADMM,9,29.327855944828475,608
7,fADMM,10,29.555691388954152,684
7,fADMM,11,29.679770290521933,760
7,fADMM,12,29.746739443670915,836
7,fADMM,13,29.782619769338286,912
7,fADMM,14,29.80172356891227,988
7,fADMM,15,29.811839288432328,1064
7,fADMM,16,29.817169233046002,1140
7,fADMM,17,29.81996477609697,1216
8,hADMM,1,222.37031322392045,0
8,hADMM,2,35.85874944135407,62
8,hADMM,3,29.55509163765741,124
8,hADMM,4,2.299128214327066,186
8,hADMM,5,2.402037594090403,248
8,hADMM,6,1.9073383262092922,310
8,hADMM,7,1.3556558993120018,372
8,hADMM,8,0.9120490601397182,434
8,hADMM,9,0.5952712799754354,496
8,hADMM,10,0.3816647900328301,558
8,hADMM,11,0.24209130897468897,620
8,hADMM,12,0.15256212467900668,682
8,hADMM,13,0.0957727310842585,744
8,hADMM,14,0.059994371180935445,806
8,hADMM,15,0.03754375135755449,868
8,hADMM,16,0.02348751863690299,930
8,hADMM,17,0.014696300497563658,992
8,hADMM,18,0.009199664257657437,1054
8,hADMM,19,0.005762333717586427,1116
8,hADMM,20,0.00361178388582963,1178
8,fADMM,1,222.37031322392045,0
8,fADMM,2,28.65879251184339,92
8,fADMM,3,17.947059596381436,184
8,fADMM,4,21.103413385865224,276
8,fADMM,5,24.630006475704537,368
8,fADMM,6,26.925991788341697,460
8,fADMM,7,28.278807444877803,552
8,fADMM,8,29.044776513366706,644
8,fADMM,9,29.469142903290425,736
8,fADMM,10,29.700978222594586,828
8,fADMM,11,29.826370008260866,920
8,fADMM,12,29.893669770927307,1012
8,fADMM,13,29.929563473080968,1104
8,fADMM,14,29.948602754407087,1196
8,fADMM,15,29.958651840039487,1288
8,fADMM,16,29.963930958325413,1380
8,fADMM,17,29.96669152816373,1472
9,hADMM,1,276.9888157372498,0
9,hADMM,2,28.614369387158344,52
9,hADMM,3,40.95188989813398,104
9,hADMM,4,7.661126739260468,156
9,hADMM,5,4.876688353482406,208
9,hADMM,6,3.102563971582031,260
9,hADMM,7,1.980280022523833,312
9,hADMM,8,1.268445127870085,364
9,hADMM,9,0.8147198068650594,416
9,hADMM,10,0.5241768761566253,468
9,hADMM,11,0.33748944814370613,520
9,hADMM,12,0.21728406637988856,572
9,hADMM,13,0.13981509019601074,624
9,hADMM,14,0.08988743336268806,676
9,hADMM,15,0.05772846076929143,728
9,hADMM,16,0.03703410151915815,780
9,hADMM,17,0.023732342277591727,832
9,hADMM,18,0.015192584907929102,884
9,hADMM,19,0.009716524287444014,936
9,hADMM,20,0.006208963571353429,988
9,hADMM,21,0.003964586663146868,1040
9,fADMM,1,276.9888157372498,0
9,fADMM,2,21.573778560143317,72
9,fADMM,3,24.04049253738642,144
9,fADMM,4,23.68658647942873,216
9,fADMM,5,22.076810611041157,288
9,fADMM,6,20.522197291486336,360
9,fADMM,7,19.453866072772357,432
9,fADMM,8,18.812806650029078,504
9,fADMM,9,18.450821593763294,576
9,fADMM,10,18.252489932334225,648
9,fADMM,11,18.145609363466768,720
9,fADMM,12,18.08859356168881,792
9,fADMM,13,18.0583889749279,864
9,fADMM,14,18.042471665589684,936
9,fADMM,15,18.03411935877996,1008
9,fADMM,16,18.029752732090845,1080
9,fADMM,17,18.027477269683338,1152
10,hADMM,1,225.09411399864607,0
10,hADMM,2,34.7296170475016,52
10,hADMM,3,30.154577359277734,104
10,hADMM,4,2.1570240483597023,156
10,hADMM,5,2.337028476085197,208
10,hADMM,6,1.880426667687712,260
10,hADMM,7,1.3515303814701558,312
10,hADMM,8,0.9203342887695981,364
10,hADMM,9,0.6088300602687025,416
10,hADMM,10,0.39615336213420194,468
10,hADMM,11,0.2552601637471137,520
10,hADMM,12,0.16351657214486912,572
10,hADMM,13,0.10438402512602586,624
10,hADMM,14,0.06650316310369288,676
10,hADMM,15,0.04232426741722679,728
10,hADMM,16,0.026923239123824563,780
10,hADMM,17,0.017124214483973044,832
10,hADMM,18,0.010892596543279578,884
10,hADMM,19,0.006930120752403613,936
10,hADMM,20,0.004410257091915155,988
10,hADMM,21,0.0028074327649966952,1040
10,fADMM,1,225.09411399864607,0
10,fADMM,2,28.20844619323008,74
10,fADMM,3,17.535196738259078,148
10,fADMM,4,20.759240651519853,222
10,fADMM,5,24.514549724325512,296
10,fADMM,6,26.99843078544795,370
10,fADMM,7,28.45810299371208,444
10,fADMM,8,29.275701762533807,518
10,fADMM,9,29.722499500025034,592
10,fADMM,10,29.963186547388194,666
10,fADMM,11,30.09166352561281,740
10,fADMM,12,30.159808923569763,814
10,fADMM,13,30.195779761799603,888
10,fADMM,14,30.21469182754235,962
10,fADMM,15,30.22460045084306,1036
10,fADMM,16,30.229775294772885,1110
10,fADMM,17,30.232469718470963,1184
